,Unnamed: 0,CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
12,13,13,F139569,4828f66e-5592-4c61-bbf4-313cf8731f1c,Conesville,IA,Muscatine,52739,41.37287,-91.36865,556,Rural,America/Chicago,"Engineer, broadcasting (operations)",0.0,83,Master's Degree,Retired,83671.08,Divorced,Male,No,7.265960814,9,0,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),13.01149229,136.4312394,1196.388018,1,2,1,4,3,2,3,3
13,14,14,X44200,780992d3-d758-4152-aceb-5d59edda3d15,East Livermore,ME,Androscoggin,4228,44.43256,-70.11501,0,Urban,America/New_York,Learning disability nurse,5.0,53,No Schooling Completed,Retired,115114.57,Separated,Female,No,6.568343834,14,1,0.0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),16.87922024,185.6592942,1948.694497,5,6,5,2,4,5,4,4
15,16,16,A403906,df437bd4-bd8a-4c8f-8110-11ed1a7723ea,Saint Germain,WI,Vilas,54558,45.92342,-89.50138,2093,Suburban,America/Chicago,Amenity horticulturist,1.0,39,Bachelor's Degree,Full Time,89061.45,Divorced,Male,Yes,9.48221912,13,1,0.0,No,One year,No,No,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,13.87001293,176.3345094,1840.014467,3,3,3,2,4,3,5,2
23,24,24,N37182,ab3bfaf3-94f1-4a14-b577-0e57178a7645,Baileyville,ME,Washington,4694,45.10333,-67.47223,2193,Urban,America/New_York,Event organiser,2.0,68,Bachelor's Degree,Full Time,79699.62,Divorced,Male,No,7.490198816,9,0,0.0,No,One year,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,8.543717478,150.3295122,945.3802928,4,4,3,5,3,4,4,3
46,47,47,B609739,bb4a7c2d-6524-41d6-b2ed-f7511509ff5b,Peoria,IL,Peoria,61606,40.6998,-89.61143,7870,Suburban,America/Chicago,Broadcast presenter,1.0,23,Associate's Degree,Retired,132116.33,Divorced,Male,Yes,12.60910718,11,1,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),22.25746016,185.0719404,2384.885909,4,4,5,2,2,4,3,3
56,57,57,L384793,79c4473e-fd88-46bc-a276-e21783d598eb,Alvin,TX,Brazoria,77511,29.38147,-95.24205,46869,Suburban,America/Chicago,Legal executive,1.0,73,"9th Grade to 12th Grade, No Diploma",Full Time,82634.86,Married,Male,Yes,9.531952076,11,0,1.0,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,9.563362997,116.095233,1324.330108,5,4,3,5,3,3,5,4
61,62,62,O942919,176d7713-b919-41c3-badf-676dc1abbf07,Delavan,IL,Tazewell,61734,40.37342,-89.52646,2765,Urban,America/Chicago,Recruitment consultant,1.0,25,Bachelor's Degree,Full Time,81831.49,Widowed,Male,No,39.88390274,10,3,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Electronic Check,2.344875382,225.2947474,704.7540406,3,4,3,2,3,4,2,4
62,63,63,I167253,d73797a9-ae43-4fe0-8f43-c7db6456eee8,Harveys Lake,PA,Luzerne,18618,41.37478,-76.03486,3757,Rural,America/New_York,Commercial horticulturist,0.0,42,"Some College, 1 or More Years, No Degree",Full Time,100076.65,Separated,Female,Yes,8.599583947,14,3,0.0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Mailed Check,7.960490246,150.2616031,1416.444695,5,5,5,4,3,2,4,4
75,76,76,E330599,99348a66-489f-42a7-894a-178bc1ba030c,Inglewood,CA,Los Angeles,90303,33.9381,-118.3323,24693,Rural,America/Los_Angeles,Sports therapist,2.0,67,Regular High School Diploma,Retired,81124.71,Married,Female,Yes,13.64707199,13,0,0.0,No,One year,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,5.43464555,271.3744783,1648.102673,3,3,4,3,5,3,3,4
79,80,80,G391761,31eeb895-3c43-4aa5-91de-59b6782b4467,Little Falls,MN,Morrison,56345,45.98881,-94.37486,14557,Rural,America/Chicago,Personal assistant,0.0,20,Associate's Degree,Part Time,79167.77,Divorced,Male,No,13.64419363,17,0,0.0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,Yes,No,Yes,No,No,No,Yes,Credit Card (automatic),9.677739656,126.242338,1129.549713,3,4,3,4,5,4,3,3
