,Unnamed: 0,CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
11,12,12,E243720,c32b8522-d62a-49b1-a77a-e0534cb1378b,Corozal,PR,Corozal,783,18.3041,-66.32847,33372,Rural,America/Puerto_Rico,Maintenance engineer,2.0,56,Bachelor's Degree,Full Time,18342.12,Married,Female,No,5.08282075,17,1,1.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,36.19603,148.3640874,1180.588788,4,4,3,4,4,4,3,4
16,17,17,V847470,bbf5ca9f-cb89-44ea-ac42-3f5862ebdbd0,Modesto,CA,Stanislaus,95351,37.62326,-120.99637,50079,Urban,America/Los_Angeles,Applications developer,1.0,63,"Some College, 1 or More Years, No Degree",Retired,31659.3,Married,Female,Yes,14.42916512,13,1,0.0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),15.78214958,195.8726039,2070.376729,3,4,4,3,5,4,4,3
29,30,30,Z686376,cddc4b08-7aae-4194-a75c-28bbcc8257f3,Silver Spring,MD,Montgomery,20902,39.04373,-77.04224,52484,Suburban,America/New_York,"Radiographer, diagnostic",4.0,69,Bachelor's Degree,Student,33186.785,Never Married,Male,Yes,12.35437248,18,1,0.0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),5.425864884,259.3879183,1745.125956,4,4,4,3,2,5,5,4
44,45,45,E818912,7ac233f7-4a78-4b44-95cf-37cc5c87cc41,New York,NY,New York,10035,40.7955,-73.92968,35743,Rural,America/New_York,Psychiatrist,0.0,53,"Some College, 1 or More Years, No Degree",Full Time,33186.785,Never Married,Female,Yes,13.89466275,6,0,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),8.798394712,243.3707028,1412.736809,4,4,4,4,3,4,3,4
51,52,52,O845020,91dc4423-1f3b-4ff3-bb12-6da4c1deabe8,Lexington,NC,Davidson,27292,35.73451,-80.20925,39649,Urban,America/New_York,"Horticulturist, amenity",5.0,68,Doctorate Degree,Full Time,43820.85,Divorced,Female,Yes,8.546827521,12,1,0.0,No,Month-to-month,Yes,No,None,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),7.338869531,188.1878188,1234.244324,2,3,3,5,4,2,3,2
56,57,57,L384793,79c4473e-fd88-46bc-a276-e21783d598eb,Alvin,TX,Brazoria,77511,29.38147,-95.24205,46869,Suburban,America/Chicago,Legal executive,1.0,73,"9th Grade to 12th Grade, No Diploma",Full Time,82634.86,Married,Male,Yes,9.531952076,11,0,1.0,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,9.563362997,116.095233,1324.330108,5,4,3,5,3,3,5,4
57,58,58,C101444,5ed9b266-29a0-489e-88e0-59f9a0b39e49,Goleta,CA,Santa Barbara,93117,34.49127,-120.08222,58431,Rural,America/Los_Angeles,Professor Emeritus,1.0,33,Bachelor's Degree,Full Time,15690.25,Widowed,Female,No,11.31019855,11,0,1.0,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Mailed Check,6.732948946,142.3770231,958.1397059,4,5,5,5,4,4,4,5
66,67,67,X345797,71895f94-c853-4e94-85ef-3fab52301614,Wheeling,IL,Cook,60090,42.1295,-87.92197,38476,Suburban,America/Chicago,"Civil engineer, consulting",3.0,70,Regular High School Diploma,Full Time,10964.73,Married,Female,Yes,7.029314673,11,0,1.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Bank Transfer(automatic),4.471254161,265.9812978,1007.425553,3,3,2,4,4,3,3,3
74,75,75,T689606,fd741cf9-5663-472f-94e8-5977c1499a74,San Diego,CA,San Diego,92131,32.89431,-117.08013,34359,Urban,America/Los_Angeles,Maintenance engineer,1.0,70,Regular High School Diploma,Full Time,1509.52,Never Married,Male,Yes,12.05902236,16,0,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Bank Transfer(automatic),2.378630018,214.1022755,3382.424,4,4,4,5,2,3,4,4
85,86,86,W681476,7d403a84-003b-402a-8432-24380e4da3b0,Alexandria,VA,Fairfax,22306,38.75669,-77.0929,35279,Rural,America/New_York,"Scientist, research (physical sciences)",1.0,33,Associate's Degree,Full Time,10389.95,Never Married,Male,No,4.274255962,15,1,0.0,No,One year,No,No,Fiber Optic,Yes,No,Yes,No,No,No,Yes,No,Yes,Credit Card (automatic),2.358129018,138.1911656,3382.424,3,3,4,3,3,4,3,6
87,88,88,Z852663,bf3ea9ec-a4a7-4514-8176-2d8d8f113323,Chicago,IL,Cook,60636,41.77576,-87.66912,32203,Suburban,America/Chicago,Higher education lecturer,0.0,66,Bachelor's Degree,Retired,27827.03,Divorced,Female,Yes,7.703726062,13,1,1.0,No,Month-to-month,Yes,No,None,Yes,Yes,No,No,No,No,Yes,Yes,No,Electronic Check,3.721772616,208.068307,777.3060718,4,3,3,6,1,4,3,3
90,91,91,G491883,0319a159-cefc-4d57-804b-c5a16de84ca6,Greensboro,NC,Guilford,27410,36.11785,-79.89432,55519,Rural,America/New_York,Chiropodist,0.0,75,"Some College, Less than 1 Year",Unemployed,58482.9,Separated,Female,Yes,7.83211249,13,0,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Mailed Check,2.188918771,192.0084484,3382.424,3,3,3,3,3,4,3,3
100,101,101,O967373,57582d0e-06d5-453f-934f-cd35554c860c,Birmingham,AL,Shelby,35242,33.42521,-86.67144,55122,Urban,America/Chicago,Pharmacologist,1.0,69,Nursery School to 8th Grade,Full Time,58077.38,Separated,Male,Yes,10.82210354,12,1,1.0,No,Month-to-month,No,No,None,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Credit Card (automatic),14.46288204,222.7999248,1806.135733,3,2,3,5,3,4,4,3
